Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
minimist;Original;-;1;0;2911;0;3785;0;0
minimist;RD;10;1;0;2863;0.016489178976296804;3718;0.017701453104359312;NaN
minimist;GA;N/A;1;0;2911;0;3785;0;0
minimist;GA2;N/A;1;0;2911;0;3785;0;0
minimist;HC;N/A;1;0;2911;0;3785;0;0
minimist;HC2;N/A;1;0;2911;0;3785;0;0
minimist;HC3;N/A;1;0;2911;0;3785;0;0
minimist;HC4;N/A;1;0;2911;0;3785;0;0
minimist;HC5;N/A;1;0;2911;0;3785;0;0
minimist;HC52;N/A;1;0;2911;0;3785;0;0
